datetime,사용량 (kWh),최대수요 (kW),무효전력 (kVarh)_지상,무효전력 (kVarh)_진상,CO2 (tCO2),역률 (%)_지상,역률 (%)_진상
2024-08-06 00:15:00,1.16,4.64,0.5,0.0,0.0,91.83,100.0
2024-08-06 00:30:00,1.5,6.0,0.4,0.0,0.0,96.62,100.0
2024-08-06 00:45:00,1.06,4.24,0.44,0.0,0.0,92.36,100.0
2024-08-06 01:00:00,1.04,4.16,0.34,0.0,0.0,95.05,100.0
2024-08-06 01:15:00,1.0,4.0,0.18,0.0,0.0,98.42,100.0
2024-08-06 01:30:00,5.78,23.12,0.18,0.0,0.0,99.95,100.0
2024-08-06 01:45:00,6.5,26.0,0.18,0.0,0.0,99.96,100.0
2024-08-06 02:00:00,6.5,26.0,0.14,0.0,0.0,99.98,100.0
2024-08-06 02:15:00,6.54,26.16,0.16,0.0,0.0,99.97,100.0
2024-08-06 02:30:00,6.56,26.24,0.16,0.0,0.0,99.97,100.0
2024-08-06 02:45:00,6.54,26.16,0.18,0.0,0.0,99.96,100.0
2024-08-06 03:00:00,6.58,26.32,0.24,0.0,0.0,99.93,100.0
2024-08-06 03:15:00,6.44,25.76,0.22,0.0,0.0,99.94,100.0
2024-08-06 03:30:00,5.94,23.76,0.0,0.0,0.0,100.0,100.0
2024-08-06 03:45:00,6.18,24.72,0.0,0.0,0.0,100.0,100.0
2024-08-06 04:00:00,5.88,23.52,0.0,0.0,0.0,100.0,100.0
2024-08-06 04:15:00,5.86,23.44,0.0,0.0,0.0,100.0,100.0
2024-08-06 04:30:00,5.88,23.52,0.0,0.0,0.0,100.0,100.0
2024-08-06 04:45:00,5.88,23.52,0.0,0.0,0.0,100.0,100.0
2024-08-06 05:00:00,5.86,23.44,0.0,0.0,0.0,100.0,100.0
2024-08-06 05:15:00,5.88,23.52,0.0,0.0,0.0,100.0,100.0
2024-08-06 05:30:00,5.82,23.28,0.0,0.0,0.0,100.0,100.0
2024-08-06 05:45:00,5.86,23.44,0.0,0.0,0.0,100.0,100.0
2024-08-06 06:00:00,5.82,23.28,0.0,0.0,0.0,100.0,100.0
2024-08-06 06:15:00,9.88,39.52,2.36,0.0,0.0,97.26,100.0
2024-08-06 06:30:00,17.7,70.8,3.56,0.52,0.01,98.04,99.96
2024-08-06 06:45:00,15.64,62.56,1.06,0.92,0.01,99.77,99.83
2024-08-06 07:00:00,15.46,61.84,1.02,0.94,0.01,99.78,99.82
2024-08-06 07:15:00,17.28,69.12,1.04,0.94,0.01,99.82,99.85
2024-08-06 07:30:00,8.38,33.52,0.02,0.0,0.0,100.0,100.0
2024-08-06 07:45:00,8.48,33.92,0.14,0.0,0.0,99.99,100.0
2024-08-06 08:00:00,8.28,33.12,0.08,0.02,0.0,100.0,100.0
2024-08-06 08:15:00,14.48,57.92,8.44,0.0,0.01,86.4,100.0
2024-08-06 08:30:00,27.38,109.52,15.92,0.0,0.01,86.45,100.0
2024-08-06 08:45:00,25.72,102.88,15.56,0.0,0.01,85.56,100.0
2024-08-06 09:00:00,26.18,104.72,15.62,0.0,0.01,85.88,100.0
2024-08-06 09:15:00,26.52,106.08,15.56,0.0,0.01,86.25,100.0
2024-08-06 09:30:00,26.44,105.76,15.32,0.0,0.01,86.52,100.0
2024-08-06 09:45:00,27.02,108.08,15.56,0.0,0.01,86.66,100.0
2024-08-06 10:00:00,27.16,108.64,15.4,0.0,0.01,86.99,100.0
2024-08-06 10:15:00,28.12,112.48,14.94,0.0,0.01,88.31,100.0
