datetime,usage_kWh,max_demand_kW,reactive_usage_kWh_kVarh_inductive,reactive_usage_kWh_kVarh_capacitive,CO2_tCO2,usage_kWh_factor_inductive,usage_kWh_factor_capacitive
2024-08-12 00:00:00,0.26,1.04,0.22,0.0,0.0,76.34,100.0
2024-08-12 00:15:00,0.34,1.36,0.24,0.0,0.0,81.7,100.0
2024-08-12 00:30:00,0.28,1.12,0.22,0.0,0.0,78.63,100.0
2024-08-12 00:45:00,0.3,1.2,0.22,0.0,0.0,80.64,100.0
2024-08-12 01:00:00,0.3,1.2,0.24,0.0,0.0,78.09,100.0
2024-08-12 01:15:00,0.32,1.28,0.22,0.0,0.0,82.4,100.0
2024-08-12 01:30:00,0.3,1.2,0.22,0.0,0.0,80.64,100.0
2024-08-12 01:45:00,0.3,1.2,0.24,0.0,0.0,78.09,100.0
2024-08-12 02:00:00,0.3,1.2,0.22,0.0,0.0,80.64,100.0
2024-08-12 02:15:00,0.24,0.96,0.2,0.0,0.0,76.82,100.0
2024-08-12 02:30:00,0.34,1.36,0.24,0.0,0.0,81.7,100.0
2024-08-12 02:45:00,0.3,1.2,0.22,0.0,0.0,80.64,100.0
2024-08-12 03:00:00,0.28,1.12,0.22,0.0,0.0,78.63,100.0
2024-08-12 03:15:00,0.32,1.28,0.24,0.0,0.0,80.0,100.0
2024-08-12 03:30:00,0.28,1.12,0.22,0.0,0.0,78.63,100.0
2024-08-12 03:45:00,0.32,1.28,0.22,0.0,0.0,82.4,100.0
2024-08-12 04:00:00,0.32,1.28,0.26,0.0,0.0,77.61,100.0
2024-08-12 04:15:00,0.28,1.12,0.22,0.0,0.0,78.63,100.0
2024-08-12 04:30:00,0.28,1.12,0.2,0.0,0.0,81.37,100.0
2024-08-12 04:45:00,0.3,1.2,0.24,0.0,0.0,78.09,100.0
2024-08-12 05:00:00,0.3,1.2,0.22,0.0,0.0,80.64,100.0
2024-08-12 05:15:00,0.3,1.2,0.22,0.0,0.0,80.64,100.0
2024-08-12 05:30:00,0.32,1.28,0.24,0.0,0.0,80.0,100.0
2024-08-12 05:45:00,0.32,1.28,0.18,0.0,0.0,87.16,100.0
2024-08-12 06:00:00,0.28,1.12,0.22,0.0,0.0,78.63,100.0
2024-08-12 06:15:00,0.8,3.2,0.38,0.0,0.0,90.33,100.0
2024-08-12 06:30:00,1.7,6.8,0.92,0.0,0.0,87.95,100.0
2024-08-12 06:45:00,4.28,17.12,3.2,0.0,0.0,80.09,100.0
2024-08-12 07:00:00,4.16,16.64,3.94,0.0,0.0,72.6,100.0
2024-08-12 07:15:00,5.38,21.52,4.3,0.0,0.0,78.12,100.0
2024-08-12 07:30:00,8.48,33.92,5.82,0.0,0.0,82.45,100.0
2024-08-12 07:45:00,8.7,34.8,6.46,0.0,0.0,80.29,100.0
2024-08-12 08:00:00,7.98,31.92,5.02,0.0,0.0,84.64,100.0
2024-08-12 08:15:00,7.68,30.72,5.64,0.0,0.0,80.6,100.0
2024-08-12 08:30:00,6.54,26.16,6.06,0.0,0.0,73.35,100.0
2024-08-12 08:45:00,6.28,25.12,4.3,0.0,0.0,82.51,100.0
2024-08-12 09:00:00,9.44,37.76,4.0,0.0,0.0,92.08,100.0
2024-08-12 09:15:00,6.48,25.92,2.94,0.04,0.0,91.07,100.0
2024-08-12 09:30:00,8.68,34.72,2.54,0.0,0.0,95.98,100.0
2024-08-12 09:45:00,7.2,28.8,3.12,0.02,0.0,91.76,100.0
2024-08-12 10:00:00,7.52,30.08,3.18,0.0,0.0,92.1,100.0
2024-08-12 10:15:00,8.56,34.24,4.02,0.0,0.0,90.52,100.0
2024-08-12 10:30:00,9.44,37.76,4.78,0.0,0.0,89.21,100.0
2024-08-12 10:45:00,11.98,47.92,4.0,0.08,0.01,94.85,100.0
2024-08-12 11:00:00,11.5,46.0,3.66,0.0,0.01,95.29,100.0
2024-08-12 11:15:00,7.24,28.96,2.76,0.0,0.0,93.44,100.0
2024-08-12 11:30:00,7.52,30.08,2.44,0.0,0.0,95.12,100.0
